full_name,affiliation,homepage,scholarid,clean_author_name
William Kwok-Wai Cheung,Hong Kong Baptist University,http://www.comp.hkbu.edu.hk/~william,e42JkYIAAAAJ,William Kwok-Wai Cheung
William L. Kocay,University of Manitoba,http://www.combinatorialmath.ca/billkocay.html,NOSCHOLARPAGE,William L. Kocay
William L. Scherlis,Carnegie Mellon University,http://www.cs.cmu.edu/~wls,F6LzqwMAAAAJ,William L. Scherlis
William L. Steiger,Rutgers University,http://www.cs.rutgers.edu/~steiger,8rnvCfgAAAAJ,William L. Steiger
William Lawrence Kocay,University of Manitoba,http://www.combinatorialmath.ca/billkocay.html,NOSCHOLARPAGE,William Lawrence Kocay
William M. Farmer,McMaster University,http://imps.mcmaster.ca/wmfarmer,zNX4etkAAAAJ,William M. Farmer
William M. Hoza,University of Chicago,https://williamhoza.com,sORZkb4AAAAJ,William M. Hoza
William Mansky,University of Illinois at Chicago,https://www.cs.uic.edu/~mansky,-BGmHzcAAAAJ,William Mansky
William Moloney,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/moloney-william.aspx,gHYMJZ0AAAAJ,William Moloney
William N. L. Browne,Queensland Univ. of Technology,https://research.qut.edu.au/qcr/people/will-browne,syWBlr8AAAAJ,William N. L. Browne
William N. Sumner,Simon Fraser University,http://http://www.cs.sfu.ca/~wsumner,NOSCHOLARPAGE,William N. Sumner
William Perkins 0001,University of Illinois at Chicago,http://willperkins.org,5HJzWMUAAAAJ,William Perkins
William Punch 0001,Michigan State University,http://www.cse.msu.edu/~punch,U9HQ2qUAAAAJ,William Punch
William R. Michalson,Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/wzm.html,rau-pbUAAAAJ,William R. Michalson
William Regli,Univ. of Maryland - College Park,https://www.cs.umd.edu/people/regli,-MSUomIAAAAJ,William Regli
William Rhodes,Florida Atlantic University,http://www.fau.edu/ufsgov/standing-committees.php,NOSCHOLARPAGE,William Rhodes
William Robertson 0002,Northeastern University,http://www.ccis.northeastern.edu/people/william-robertson,VxWLGyoAAAAJ,William Robertson
William Robson Schwartz,UFMG,http://homepages.dcc.ufmg.br/~william,koXKq5EAAAAJ,William Robson Schwartz
William S. Cleveland,Purdue University,http://www.stat.purdue.edu/~wsc,ds52UHcAAAAJ,William S. Cleveland
William S. Evans,University of British Columbia,https://www.cs.ubc.ca/people/william-evans,JU1Z-DcAAAAJ,William S. Evans
William S. Moses,Univ. of Illinois at Urbana-Champaign,https://wsmoses.com,tPC00zwAAAAJ,William S. Moses
William Seymour,King's College London,https://www.kcl.ac.uk/people/william-seymour,NbrrDDwAAAAJ,William Seymour
William Shoaff,Florida Institute of Technology,http://fit.academia.edu/WilliamShoaff,NOSCHOLARPAGE,William Shoaff
William Smith 0002,University of York,https://www-users.cs.york.ac.uk/wsmith,o2z0h6MAAAAJ,William Smith
William T. Freeman,Massachusetts Inst. of Technology,https://billf.mit.edu,0zZnyMEAAAAJ,William T. Freeman
William T. Hallahan,Binghamton University,https://www.binghamton.edu/computer-science/people/profile.html?id=whallahan,SIpwj1UAAAAJ,William T. Hallahan
William Waites,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/william-waites/publications,8jBWCEoAAAAJ,William Waites
William Wang 0001,Univ. of California - Santa Barbara,http://www.cs.ucsb.edu/~william,gf8Ms_8AAAAJ,William Wang
William Yang Wang,Univ. of California - Santa Barbara,http://www.cs.ucsb.edu/~william,gf8Ms_8AAAAJ,William Yang Wang
William Yeoh 0001,Washington University in St. Louis,https://sites.wustl.edu/wyeoh,HzOQwwkAAAAJ,William Yeoh
William Hawkins,University of Cincinnati,https://researchdirectory.uc.edu/p/hawkinwh,NOSCHOLARPAGE,William Hawkins
Willibrordus Martinus Pancratius van der Aalst,TU Eindhoven,http://www.vdaalst.com,aSZYyxIAAAAJ,Willibrordus Martinus Pancratius van der Aalst
Willie Neiswanger,University of Southern California,https://willieneis.github.io,QwKHApEAAAAJ,Willie Neiswanger
Willy Quach,CISPA Helmholtz Center,https://wquach.github.io,ARFd9ukAAAAJ,Willy Quach
Willy Susilo,University of Wollongong,https://scholars.uow.edu.au/willy-susilo,eNOmOvkAAAAJ,Willy Susilo
Wim Martens,University of Bayreuth,https://www.theoinf.uni-bayreuth.de/en/team/martens_wim/index.php,QgkOSXoAAAAJ,Wim Martens
Wim Michiels,KU Leuven,https://people.cs.kuleuven.be/~wim.michiels,mp29GegAAAAJ,Wim Michiels
Wim Vanderbauwhede,University of Glasgow,http://www.dcs.gla.ac.uk/~wim,8k8c2f4AAAAJ,Wim Vanderbauwhede
Wim van Dam,Univ. of California - Santa Barbara,https://www.cs.ucsb.edu/~vandam,w_zbNmoAAAAJ,Wim van Dam
Winfried Kurth,University of Göttingen,http://www.uni-goettingen.de/de/72781.html,NOSCHOLARPAGE,Winfried Kurth
Winfried Lamersdorf,University of Hamburg,https://vsis-www.informatik.uni-hamburg.de/vsis/members/look/4,ZvJH9dUAAAAJ,Winfried Lamersdorf
Wing Ho Leung,City University of Hong Kong,https://www.cs.cityu.edu.hk/~howard/brief-bio.html,EPaaCOgAAAAJ,Wing Ho Leung
Wing Kwong Chan,City University of Hong Kong,https://www.cs.cityu.edu.hk/~wkchan,-GAmIvsAAAAJ,Wing Kwong Chan
Wing Lam,George Mason University,https://cs.gmu.edu/~winglam,OXYaXQsAAAAJ,Wing Lam
Wing Ning Li,University of Arkansas,https://engineering.uark.edu/directory/index/uid/wingning/name/Wing+Ning+Li,NOSCHOLARPAGE,Wing Ning Li
Wing-Kai Hon,National Tsing Hua University,http://www.cs.nthu.edu.tw/~wkhon,7bMQ4KAAAAAJ,Wing-Kai Hon
Wing-Kin Sung,National University of Singapore,https://www.comp.nus.edu.sg/~ksung,KaCbE9MAAAAJ,Wing-Kin Sung
Wing-Kwong Chan,City University of Hong Kong,https://www.cs.cityu.edu.hk/~wkchan,-GAmIvsAAAAJ,Wing-Kwong Chan
Wing-Ning Li,University of Arkansas,https://engineering.uark.edu/directory/index/uid/wingning/name/Wing+Ning+Li,NOSCHOLARPAGE,Wing-Ning Li
Winn Chow,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/4556-winn-chow,zo2pj7cAAAAJ,Winn Chow
Winn W. Y. Chow,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/4556-winn-chow,zo2pj7cAAAAJ,Winn W. Y. Chow
Winston H. Hsu,National Taiwan University,https://winstonhsu.info,NOvDH3QAAAAJ,Winston H. Hsu
Winston K. G. Seah,Victoria University of Wellington,http://homepages.ecs.vuw.ac.nz/~winston,NOSCHOLARPAGE,Winston K. G. Seah
Winston Khoon Guan Seah,Victoria University of Wellington,http://homepages.ecs.vuw.ac.nz/~winston,NOSCHOLARPAGE,Winston Khoon Guan Seah
Winston Seah,Victoria University of Wellington,http://homepages.ecs.vuw.ac.nz/~winston,NOSCHOLARPAGE,Winston Seah
Wissam Fawaz,Lebanese American University,http://soe.lau.edu.lb/ece/faculty-staff/wissam_fawaz.php,3o50cnIAAAAJ,Wissam Fawaz
Witawas Srisa-an,University of Nebraska,http://cse.unl.edu/~witty,Nf_0d9MAAAAJ,Witawas Srisa-an
Witold Charatonik,University of Wroclaw,https://www.ii.uni.wroc.pl/~wch,mCyQ2RgAAAAJ,Witold Charatonik
Wlodek Drabent,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/wlodzimierz-drabent,bG-Ml1YAAAAJ,Wlodek Drabent
